"","who.region","sc1_ecoli_MAD","sc1_ecoli_MPD","sc2_ecoli_MAD","sc2_ecoli_MPD","sc1_saureus_MAD","sc1_saureus_MPD","sc2_saureus_MAD","sc2_saureus_MPD","sc1_ecoli_TAD","sc1_ecoli_TPD","sc2_ecoli_TAD","sc2_ecoli_TPD","sc1_saureus_TAD","sc1_saureus_TPD","sc2_saureus_TAD","sc2_saureus_TPD","npop"
"1","AFRO",4744183.195859,2e-05,14376312.575815,6e-05,2793905.412849,1.2e-05,9313017.981885,3.9e-05,79299762.251036,2e-05,240302306.068116,6e-05,46700558.777411,1.2e-05,155668527.600969,3.9e-05,76479180.566616
"2","EMRO",8310069.199331,1.8e-05,25182027.808064,5.5e-05,4893932.025766,1.1e-05,16313106.72177,3.6e-05,136388531.645052,1.8e-05,413298578.055096,5.5e-05,80321361.379322,1.1e-05,267737870.080168,3.6e-05,101151724.778813
"3","EURO",23972101.30617,1.7e-05,72642729.905379,5.3e-05,14117596.041946,1e-05,47058652.892177,3.4e-05,385516843.89634,1.7e-05,1168232836.64077,5.3e-05,227037683.958451,1e-05,756792269.495792,3.4e-05,61054205.340918
"4","PAHO",134547747.366675,1.7e-05,407720441.486107,5.3e-05,79237598.095613,1e-05,264125324.756137,3.4e-05,2160350918.86783,1.7e-05,6546517847.20558,5.3e-05,1272269512.34589,1e-05,4240898335.50991,3.4e-05,176655081.731965
"5","SEARO",53760953.767702,1.7e-05,162911980.506772,5.3e-05,31660770.14643,1e-05,105535900.227229,3.4e-05,869554200.661321,1.7e-05,2635012721.98073,5.3e-05,512095826.34689,1e-05,1706986084.731,3.4e-05,987124591.532852
"6","WPRO",124759522.483773,1.7e-05,378059153.663726,5.1e-05,73473481.955269,1e-05,244911604.171848,3.3e-05,1992983906.76155,1.7e-05,6039345005.54546,5.1e-05,1173710127.11392,1e-05,3912367017.65868,3.3e-05,1057595955.64637
