"","who.region","Ecoli_HC","Saureus_HC","sc2_ecoli_loss","sc2_saureus_loss"
"1","AFRO",3410381,2209383,9787068.338996,6340099.861798
"2","EMRO",5391239,3492663,19463687.954474,12608735.566508
"3","EURO",18074556,11709430,74338387.497926,48157045.032493
"4","PAHO",84061683,54458566,399492390.860281,258794788.957576
"5","SEARO",96811333,62718305,120664610.312302,78167713.571931
"6","WPRO",249366630,161549810,313484380.679294,203078947.792817
